Method,Average Performance,Final Performance,AUC,Time Steps
ppo_dropout-debug_tiger_cycle-v1_full_eval_return/env1/mean_return (N=4),6.3590986328125,10.0,2604686.8,409600
ppo_dropout-debug_tiger_cycle-v1_full_eval_return/env2/mean_return (N=4),4.601328125,10.0,1884704.0,409600
ppo_dropout-debug_tiger_adaptive_window1-v1_full_eval_return/env1/mean_return (N=4),6.1665986328125,10.0,2525838.8,409600
ppo_dropout-debug_tiger_adaptive_window1-v1_full_eval_return/env2/mean_return (N=4),3.673828125,9.0,1504800.0,409600
